Split,Total tokens,Recognized tokens,OOV tokens,Token coverage (%),OOV tokens (%),Unique tokens,Recognized unique tokens,Unique-token coverage (%),Documents without vectors,Extraction time (s)
Train,4030520,3995809,34711,99.13879598662207,0.8612040133779264,61910,53267,86.03941204974964,0,5.795174000086263
Validation,445736,441946,3790,99.14972091103255,0.8502790889674605,26489,24791,93.58979198912756,0,0.9914785000728443
Test,282814,280404,2410,99.14784982355894,0.8521501764410532,21581,20443,94.7268430563922,0,0.4821631000377238
