Rank,Experiment,Model,Feature set,Accuracy,Macro F1,Weighted F1,Training time (s),Validation prediction time (s)
1,linear_svm__tfidf_unigram_bigram,Linear SVM,tfidf_unigram_bigram,0.9230833402853091,0.9229905449163166,0.9229883398482339,5.564809500006959,0.005614400026388466
2,logistic_regression__tfidf_unigram_bigram,Logistic Regression,tfidf_unigram_bigram,0.920580629014766,0.9204668823948758,0.9204642259880798,8.141713699966203,0.006842400005552918
3,linear_svm__tfidf_unigram,Linear SVM,tfidf_unigram,0.9194126970885126,0.9192997247107384,0.9192955928653521,4.217230700014625,0.0028184999828226864
